text,sentiment
"I LOVED this flick when it came out in the 80's and still do! I still quote classic lines like ""say it again"" and ""you said you'd rip my balls off sir"". Ron Leibman was hot and very funny! Although it was underrated and disowned by MAD, I have to say that this little gem will always be a treasure of mine and a movie that I would take with me if sent to a deserted island! I only wish that someone would release the DVD because my VHS tape is about worn out! If you like cheesed out comedy, this is definitely for you and should be considered a cult classic! It is military humor at it's best and worse! Rent it if you can't own it!",0
"Tenchu aka. Hitokiri- directed by Hideo Gosha - starring Shintaro Katsu and Tetsuya NAkadei belongs (together with Goyokin, HAra Kiri & Rebellion) to the best chambara movies existing.  Its the story about Shintaro Katsu (who plays Okada Izo) working for Nakadei, who wants to become the daymio. Okada, being the ""cleaner"" for Nakadei is being treated like a dog - and after quite a while he realises - what he realy is to Nakadei.  But there is so much more in this movie - every fan of japanese cinema should have seen it !!!!!!!  (Tenchu means Heavens Punishment)",0
"Inspired at least a little by Ivy Benson & Her All Girls Orchestra, who performed throughout the war years at the Covent Garden Opera house, this film chronicles the attempts by an elderly saxophone player to reform the (almost) all girl band with whom she played as a schoolgirl towards the end of WWII. All too brief flashbacks to the original band on stage bring us some wonderful music, and help to fill in the background to the band members, and in particular to the girls' relationships with the lone male member - their transvestite drummer (who is trying to dodge the call-up).  Ian Holm (""Lord of The Rings"", ""Cromwell and Fairfax"") and Judi Dench turn in superb leading performances as the recently widowed Elizabeth, and the conniving, womanizing Patrick, the drummer. The late Joan Sims is perfect as the band's leader, now playing bar piano at the sea-side, and June Whitfield glows as the Salvation Army trombone player. Cameo appearances by other greats like Cleo Laine, Leslie Caron, Olympia Dukakis and Billie Whitelaw make this an unforgettable experience. The movie is a romp down memory lane, with an all star cast of what ought, by all rights, to be a bunch of over-the-hill actresses. All I can say is, I hope I look as good at their age! Leslie Caron, in particular, is still an incredible fox, at 69 years of age. She certainly still gets my pulse going! As I watched it, I was mentally berating the casting director for not using women of the appropriate age. Afterwards, I looked these girls up, and discovered that every one of them is old enough to have been performing in the London of 1944 (although this might be a bit of a stretch for Judi Dench).  If you like swing bands, thrive on nostalgia, or just want to see how good a woman can manage look with almost three quarters of a century behind her, don't miss this film.  ",0
"Watching Cliffhanger makes me nostalgic for the early '90s, a time when virtually every new action movie could be described as ""Die Hard in a /on a."" Cliffhanger is ""Die Hard on a mountain,"" and pretty good, for what it is.  But unlike Passenger 57 and Under Siege, which are decent Die Hard clones on their own terms, Cliffhanger dispenses with the enclosed feeling of many action movies and embraces breathtaking landscapes that, in their immensity, threaten to overwhelm and trivialize the conflicts of the people fighting and dying among the peaks.  Years before other movies like A Simple Plan and Fargo dramatized crime and murder on snowbound locations, Cliffhanger director Renny Harlin recognized the visual impact of juxtaposing brutal violence and grim struggles to survive against cold and indifferent natural surroundings.  The opening sequence has already received substantial praise, all of which it deserves: its intensity allows us to forget the artifice of the camera and the actors and simply believe that what we are seeing is actually happening. Not even Harlin's shot of the falling stuffed animal, which is powerfully effective but still threatens to become too much of a joke (and which he repeated in Deep Blue Sea), or the ridiculous expression on Ralph Waite's face, can dim the sequence's power.  The next impressive set-piece is the gunfight and heist aboard the jet. As written by Stallone and Michael France and directed by Harlin, the audience is plunged into the action by not initially knowing which agents are involved in the theft and which are not: the bloody double-crosses are completely unexpected. As Roger Ebert has observed, the stuntman who made the mid-air transfer between the planes deserves some special recognition.  Later, during the avalanche sequence, one of the terrorists/thieves appears to be actually falling as the wall of snow carries him down the mountain. So far as I know, no one was killed in the making of this movie (a small miracle, considering the extreme nature of some of the stunts), so obviously a dummy was used for the shot. But the shot itself remains impressive because we're left wondering how Harlin (or more likely one of the second-unit directors) knew exactly where to place the camera.  I'll take Sly Stallone as my action hero any day of the week, because he's one of the few movie stars I've ever seen who's completely convincing as someone who can withstand a lot of physical and emotional pain, and at the same time actually feels that pain. The role of Gabe Walker really complements Stallone's acting strengths: he plays an older, more vulnerable kind of action hero, giving an impressively low-key performance as a mountain rescuer who must redeem himself.  In contrast to many of today's post-Matrix, comic book-inspired action heroes, Stallone's Walker is an ordinary man who becomes a hero without any paranormal or computer-enhanced abilities. In Cliffhanger, the hero almost freezes to death, and his clothes start to show big tears as he barely escapes one dangerous situation after another. He winces when he's hit and bleeds when he's cut, particularly in the cavern sequence when he takes a Rocky-style pummeling from one of the mad-dog villains.  It should be noted that the utterly despicable villains really contribute to the movie's effectiveness: when I first saw this movie as a teenager, I was rooting for the good guys every step of the way and anticipating when another bad guy would bite the dust (or rather, the ice); at one point I actually cheered as one of the most cold-blooded characters in the movie deservedly suffered a violent demise.  Lithgow's British accent is as unconvincing as the movie's occasional model plane or model helicopter, but he's fundamentally a good actor, and one of the few who can perfectly recite silly dialogue: in one scene, looking at his hostages Stallone and Rooker, trying to decide which tasks to give them, he actually says ""You, stay! You, fetch!"" Even a better actor, such as Anthony Hopkins, might have had trouble with that line.  Even if Cliffhanger occasionally tosses credibility aside, it does so only for the sake of a more entertaining show.  Early in the movie, for example, Lithgow openly says to one of his men ""Retire [Stallone] when he comes down."" No real criminal mastermind would have made this mistake even unconsciously: his carelessness allows Rooker to shout a warning up to Sly on the rock face, and this precipitates a gripping tug-of-war between Stallone and the bad guys trying to pull him down by the rope tied to his leg.  Lithgow could have given his order by a more subtle means, but the sequence might not have been as much fun to watch if it hadn't given Rooker an opportunity to openly defy the arrogance of his captor.  Done very much in the style of a Saturday matinee serial or (at times) a Western, Cliffhanger is built on such a solid foundation that it survives some weak elements that would have undermined a lesser film.  Besides the painfully obvious aircraft models mentioned before, the weak moments include a couple of scenes shot on cheap indoor sets with REALLY fake snow, as well as two other scenes involving bats and wolves that seem unnecessary in an already action-packed narrative. Finally, Harlin's decision to film some of the death scenes in slow motion seems pointless, since the technique contributes nothing to the scenes.  It's a shame that Stallone is now too old for action movies, because his character in this movie seems so credible that inevitably I wonder what he would be like years later. But perhaps it's best that Cliffhanger stands on its own for all time, without a sequel: there are enough tired and obsolete movie franchises already. There was an unofficial sequel that called itself Vertical Limit: compared to that clinker, Cliffhanger belongs on the IMDb's Top 250 list.  Rating: 8 (Very good, especially considering most of Stallone's other movies.)",0
"Bill Paxton stars in and directs this highly original film. Having watched the first time I was by how good it was. The reviews I had heard were OK . As a result I was expecting an average thriller at most .However because of Paxtons excellent directing and acting the film is well worth watching , especially if you are a horror film fanatic.The film is also helped by the plot twists which keep coming until the closing credits . The films strongest point is the storyline which I have to say is highly original and is like I have ever seen before. Well done also to the 2 young leads which perfectly convey the emotions if these confused boys. I give this film 9/10 and I highly recommend that everyone catches it.",0
"Corny! I love it! Corny - just as the TV show was about 40 years ago! Adam and Burt rekindle the same on-screen chemistry that never seems to have left! They re-live old memories, plus the actors that play them from the 1960s show some behind-the-scenes things which are quite interesting to know. 1960s TV was corny escapism for so many of us back then, and this DVD is no exception, if you are familiar with the original TV show. The fight scene with the written Boofs and Bams or whatever is fantastic!! The movie theater scene shows clips of the villains who passed away. At the end Frank Gorshin makes an appearance. He passed away not too long after this DVD was made, I believe, so it is to his great credit that he came back to again play a villain to Adam and Burt, just as he did to Batman & Robin so many years ago. He didn't lose his touch! Thanks to Julie Newmar to re-living a villain role, also. In conclusion I think that this DVD is for great memories, and I wish to thank both Adam and Burt for coming back and recreating these memories for those of us who remember the original-!!! Thanks, Guys!!!",0
"Although the story is fictional, it draws from the reality of not only the history of latin american countries but all the third world. This is the true, pure and raw recent history of these countries summarized concisely in this novel / film. The offbeat supranatural stuff, lightens up the intensity of historical events presented in this movie. After all the supranatural stuff is a part of the culture in the third world. Although is not critically acclaimed (probably because of the supranatural stuff), This is an excellent movie, with a great story and great acting.",0
"This movie has one of the cheesiest plots I have seen. For me, that's what makes it so awesome! Fred Gwynne and Al Lewis are very good at what they achieved in the original Munsters series. While there was less slapstick, they still worked wonderfully together ""comedically."" I wish Yvonne De Carlo, as Lily, would have had more plot involvement. She showed that she could do comedy in the original series, but it was mostly wasted in this movie. This movie also stars the great Sid Caesar, but sadly he doesn't have any interaction with Gwynne and Lewis. I think some better work could have come out of that.",0
"I have always been a huge James Bond fanatic! I have seen almost all of the films except for Die Another Day, and The World Is Not Enough. The graphic's for Everything Or Nothing are breathtaking! The voice talents......... WOW! I LOVE PIERCE BROSNAN! He is finally Bond in a video game! HE IS BOND! I enjoyed the past Bond games: Goldeneye, The World Is Not Enough, Agent Under Fire, and Nightfire. This one is definitely the best! Finally, Mr. Brosnan, (may I call him Mr. Brosnan as a sign of respect? Yes I can!) He was phenomenally exciting to hear in a video game....... AT LONG LAST! DUH! I've seen him perform with Robin Williams, and let me tell you, they make a great team. Pierce Brosnan is funny, wickedly handsome ( I mean to say wickedly in a good way,) and just one of those actor's who you would want to walk up to and wrap your arms around and hug, saying: ""Pierce Brosnan, thank you for being James Bond,"" ""If it wasn't for you, I wouldn't know who James Bond is."" He's a great actor! I am a huge fan of Willem Dafoe even though I've seen him in a couple of movies. His role as Nikolai Diavalo was brilliant. (Did I spell the character's name right?) LOL!!!! He does a great job with an accent. Sometimes I can't even hear an accent. I have seen Willem, I mean Mr. Dafoe, perform in two movies: Finding Nemo, and Spider-Man with my favorite actress: KIRSTEN DUNST! SHE ROCKS! Anyway, He never ceases to amaze. And Richard Kiel, wow, he's definitely got the part of Jaw's nailed. I've seen him in the movie's and he's awesome! As a matter of fact, my Grandparent's have met Mr. Kiel, and I was jealous when they told me. But, Kirsten Dunst is at the top of my list of Celebritie's that I want to meet. John Cleese was breathtaking. I have never seen a better person play as the wisecracking, and gadget creating Q! Mr. Cleese was hilarious! I've seen him work with Pierce Brosnan in Goldeneye and Tommorow Never Dies. He's awesome! John Cleese's most recent project is Shrek 2 starring Mike Myer's, Cameron Diaz, Julie Andrew's and Eddie Murphy. ( Shrek 2 is now in theatre's!) GOOD LUCK 007! Oh, yeah, and as Q alway's says: ""Grow up 007!""",0
"This collection of eleven short stories in one movie is a great idea, and presents some great segments, but also some disappointing surprises. Based on the tragic event of the September 11th 2001 in the United States of America, eleven directors were invited to give their approach to the American tragedy. The result of most of them is not only an individual sympathy to the American people, but mainly to the intolerance in the world with different cultures and people.  Ken Loach (UK) presents the best segment, about the September 11th 1973 in Chile, when the democratic government of Salvador Alliende was destroyed by the dictator Augusto Pinochet with the support of the USA.  The other excellent segments are the one of Youssef Chahine (Egypt), showing the intolerance in the world, and the number of victims made by USA governments in different countries along the contemporary history; and the one of Mira Nair (India), showing a true story of injustice and prejudice against a Pakistanis family, whose son was wrongly accused of terrorism in USA, when he was indeed a hero.  Some segments are beautiful: Samira Makhmalbaf (Iran) shows the innocent Afghans refugee children preparing an inoffensive shelter against bombs, while their teacher tries to explain to them what happened on the other side of the world; the romantic Claude Lelouch (France) shows the life of a couple in New York nearby the WTC; Danis Tanovic (Bosnia-Herzegovina) shows the effects of their war in a small location and the lonely protest of widows; Sean Penn is very poetic, showing that life goes on; and Shohei Imamura's story is probably the most impressive, showing that there is no Holy War but sadness and disgrace.  The segment of Idrissa Quedraogo (Birkina Faso) is very naive, but pictures the terrible poor conditions of this African nation.  The segment of Amos Gital (Israel) is very boring and manipulative, showing more violence and terrorism.  The segment of Alejandro González Iñárritu is very disappointing, horrible, without any inspiration and certainly the worst one.  My vote is seven.  Title (Brazil): ""11 de Setembro"" (""September 11"")",0
